,P/E,P/B,EV/EBITDA,Revenue CAGR (5Y),EPS CAGR (5Y),ROE,P/E_Rank,P/B_Rank,EV/EBITDA_Rank,Revenue CAGR (5Y)_Rank,EPS CAGR (5Y)_Rank,ROE_Rank,Fundamental_Score
EIX,14.606228698576972,,,0.05694406308602229,0.1852357593194971,,0.7576923076923077,0.5,0.5,0.46534653465346537,0.7689075630252101,0.5,0.5347223253353132
EL,,,,-0.06871717508347619,,,0.5,0.5,0.5,0.066006600660066,0.5,0.5,0.30895214521452147
ENPH,37.50849367803776,,,-0.012619797304100677,-0.11326122794488169,,0.2153846153846154,0.5,0.5,0.15181518151815182,0.23949579831932774,0.5,0.24268888896000135
ENR,43.91763317585302,,,-0.015063885917430353,-0.3700394750525634,,0.15384615384615385,0.5,0.5,0.1485148514851485,0.037815126050420166,0.5,0.17401878116059827
ENS,13.88043563583378,,,0.02519970345900102,0.38824141360505937,,0.7807692307692308,0.5,0.5,0.31353135313531355,0.9159663865546218,0.5,0.5339457397582034
EPAM,21.94473635137603,,,0.07952535352044943,-0.02363725995128063,,0.5384615384615384,0.5,0.5,0.594059405940594,0.3949579831932773,0.5,0.44771270275055947
EQT,165.28870039943274,,,-0.08601622102304607,,,0.0346153846153846,0.5,0.5,0.04950495049504951,0.5,0.5,0.2880762883980706
ERIE,25.096460638932292,,,0.1310194348901894,0.26286709581142764,,0.44999999999999996,0.5,0.5,0.8250825082508251,0.8613445378151261,0.5,0.6714221233047675
ETN,36.516153083816555,,,0.0822139755779765,0.2103808196736361,,0.23076923076923073,0.5,0.5,0.6171617161716172,0.7983193277310925,0.5,0.5760569802940216
ETSY,19.228210722069633,,,0.06435352032657526,-0.12045634407313888,,0.6346153846153846,0.5,0.5,0.5115511551155115,0.21428571428571427,0.5,0.3653841620425779
EXAS,,,,0.16008802596788452,,,0.5,0.5,0.5,0.8778877887788779,0.5,0.5,0.5728135313531353
EXC,18.92798563902439,,,0.08682778744301811,0.12082793188263485,,0.6423076923076922,0.5,0.5,0.6303630363036303,0.6722689075630253,0.5,0.5530989715002528
F,9.085253366899133,,,0.10707104186727401,-0.30922206284390163,,0.9076923076923077,0.5,0.5,0.7128712871287128,0.046218487394957986,0.5,0.38529392030993664
FDX,15.480973137829912,,,-0.020322071995889424,0.05395483964007641,,0.7384615384615385,0.5,0.5,0.1353135313531353,0.5168067226890757,0.5,0.34488780051243656
FF.MI,27.37228445885477,,,0.07749868472293486,,,0.3961538461538462,0.5,0.5,0.570957095709571,0.5,0.5,0.4695995176440721
