,Weight,Cap_Group,Sector
JPM,0.00225,Large-Cap,Financial Services
PHM,0.00225,Large-Cap,Consumer Cyclical
LI,0.00225,Large-Cap,Consumer Cyclical
MA,0.00225,Large-Cap,Financial Services
ORCL,0.00225,Large-Cap,Technology
LYV,0.00225,Large-Cap,Communication Services
ROP,0.00225,Large-Cap,Technology
NIO,0.00225,Large-Cap,Consumer Cyclical
NFLX,0.00225,Large-Cap,Communication Services
NEE,0.00225,Large-Cap,Utilities
RMD,0.00225,Large-Cap,Healthcare
RJF,0.00225,Large-Cap,Financial Services
SYK,0.00225,Large-Cap,Healthcare
VST,0.00225,Large-Cap,Utilities
SO,0.00225,Large-Cap,Utilities
SONY,0.00225,Large-Cap,Technology
WAB,0.00225,Large-Cap,Industrials
INVH,0.00225,Large-Cap,Real Estate
TDY,0.00225,Large-Cap,Technology
THC,0.00225,Large-Cap,Healthcare
TM,0.00225,Large-Cap,Consumer Cyclical
HWM,0.00225,Large-Cap,Industrials
HSY,0.00225,Large-Cap,Consumer Defensive
TXRH,0.00225,Large-Cap,Consumer Cyclical
UHS,0.00225,Large-Cap,Healthcare
ULTA,0.00225,Large-Cap,Consumer Cyclical
UMG.AS,0.00225,Large-Cap,Communication Services
VRTX,0.00225,Large-Cap,Healthcare
HIG,0.00225,Large-Cap,Financial Services
FIS,0.00225,Large-Cap,Technology
WBD,0.00225,Large-Cap,Communication Services
EXC,0.00225,Large-Cap,Utilities
ZBH,0.00225,Large-Cap,Healthcare
HBAN,0.00225,Large-Cap,Financial Services
HAL,0.00225,Large-Cap,Energy
GM,0.00225,Large-Cap,Consumer Cyclical
FLUT,0.00225,Large-Cap,Consumer Cyclical
MCK,0.00225,Large-Cap,Healthcare
EXAS,0.00225,Large-Cap,Healthcare
ADBE,0.00225,Large-Cap,Technology
ERIE,0.00225,Large-Cap,Financial Services
EIX,0.00225,Large-Cap,Utilities
DIS,0.00225,Large-Cap,Communication Services
CTAS,0.00225,Large-Cap,Industrials
FI,0.00225,Large-Cap,Technology
MRK,0.00225,Large-Cap,Healthcare
WCC,0.00225,Large-Cap,Industrials
CRS,0.00225,Large-Cap,Industrials
CRM,0.00225,Large-Cap,Technology
CRCL,0.00225,Large-Cap,Financial Services
COH.AX,0.00225,Large-Cap,Healthcare
CHEOY,0.00225,Large-Cap,Healthcare
CAT,0.00225,Large-Cap,Industrials
BYDDY,0.00225,Large-Cap,Consumer Cyclical
BSX,0.00225,Large-Cap,Healthcare
BEP,0.00225,Large-Cap,Utilities
BE,0.00225,Large-Cap,Industrials
AVGO,0.00225,Large-Cap,Technology
ATI,0.00225,Large-Cap,Industrials
ARMK,0.00225,Large-Cap,Industrials
APTV,0.00225,Large-Cap,Consumer Cyclical
AME,0.00225,Large-Cap,Industrials
ALC,0.00225,Large-Cap,Healthcare
PANW,0.00225,Large-Cap,Technology
